Assessment_Unit_Name,SEZ_ID,SEZ_Type
Sky meadows,79,Non-Channeled Meadow
UTR - Reach 5,80,Channeled Meadow
UTR - Johnson meadows - 3,81,Channeled Meadow
UTR - Airport reach,82,Channeled Meadow
Muskawi Drive meadows,83,Non-Channeled Meadow
UTR - Reach 6,84,Channeled Meadow
Elks Club meadows - 2,85,Non-Channeled Meadow
UTR - golf course meadows,86,Channeled Meadow
Angora meadows - 1,87,Channeled Meadow
Angora meadows - 8,88,Channeled Meadow
Angora meadows - 7,89,Non-Channeled Meadow
Angora meadows - 2,90,Channeled Meadow
Angora meadows - 3,91,Channeled Meadow
Angora meadows - 9,92,Non-Channeled Meadow
Angora meadows tributary - 7,93,Non-Channeled Meadow
Angora meadows tributary - 4,94,Non-Channeled Meadow
Angora meadows tributary - 8,95,Non-Channeled Meadow
Angora meadows tributary - 9,96,Non-Channeled Meadow
Angora meadows tributary - 3,97,Non-Channeled Meadow
Washoe State Parks meadow - 2,98,Non-Channeled Meadow
Angora meadows tributary - 2,99,Non-Channeled Meadow
Saxon Creek tributary meadows - 3,100,Non-Channeled Meadow
Saxon Creek tributary meadows - 1,101,Channeled Meadow
Saxon Creek meadows - above Fountain Place 2,102,Channeled Meadow
Trout Creek meadows - above Fountain Place,103,Channeled Meadow
Trout Creek meadows - above Pioneer 4,104,Channeled Meadow
Trout Creek meadows - above Pioneer 3,105,Channeled Meadow
Trout Creek meadows - above Pioneer 2,106,Channeled Meadow
Susquehana meadows - 2,107,Non-Channeled Meadow
Susquehana meadows - 1,108,Non-Channeled Meadow
Trout Creek - Highland Woods,109,Channeled Meadow
Cold Creek - Highland Woods,110,Channeled Meadow
Heavenly Valley Creek meadows - 1,111,Channeled Meadow
Heavenly Valley Creek meadows - 2,112,Channeled Meadow
Heavenly Valley Creek meadows - 4,113,Channeled Meadow
Bijou meadows - private,114,Non-Channeled Meadow
Bijou meadows - 1,115,Non-Channeled Meadow
Bijou meadows - 2,116,Non-Channeled Meadow
Van Sickle meadows,117,Non-Channeled Meadow
Kahle meadows - 5,118,Channeled Meadow
Kahle meadows - 7,119,Non-Channeled Meadow
Spooner meadows - 3,120,Non-Channeled Meadow
Spooner meadows - 5,121,Non-Channeled Meadow
Meiss meadows - 2,122,Non-Channeled Meadow
Meiss meadows - 1,123,Channeled Meadow
Meiss meadows - 3,124,Channeled Meadow
small meadow 105,125,Non-Channeled Meadow
Big meadow - 7,126,Non-Channeled Meadow
Grass Lake meadow,127,Non-Channeled Meadow
Cookhouse meadow,128,Channeled Meadow
Benwood meadows - 1,129,Channeled Meadow
Christmas Valley meadows - 3,130,Channeled Meadow
Benwood meadows - 2,131,Channeled Meadow
small meadow 111,132,Channeled Meadow
small meadow 112,133,Non-Channeled Meadow
Christmas Valley meadows - 2,134,Channeled Meadow
small meadow 113,135,Channeled Meadow
Christmas Valley meadows - 1,136,Channeled Meadow
Trout Creek headwaters meadows - 1,137,Non-Channeled Meadow
Upper Truckee River - Meyers,138,Non-Channeled Meadow
Saxon Creek tributary meadows - 6,139,Non-Channeled Meadow
Saxon Creek tributary meadows - 4,140,Non-Channeled Meadow
Elks Club meadows - 1,141,Non-Channeled Meadow
Angora meadows - 6,142,Channeled Meadow
Angora meadows - 4,143,Non-Channeled Meadow
Angora meadows - 5,144,Non-Channeled Meadow
Washoan Blvd meadows,145,Non-Channeled Meadow
Angora meadows tributary - 6,146,Non-Channeled Meadow
Fallen Leaf meadows - 3,147,Non-Channeled Meadow
Trout Creek meadows - above Pioneer 1,148,Channeled Meadow
Trout Creek above Black Bart,149,Channeled Meadow
Gardner meadow,150,Non-Channeled Meadow
UTR - Johnson meadows - 2,151,Channeled Meadow
Heavenly Valley Creek meadows - 3,152,Channeled Meadow
Tahoe Valley meadows - 1,153,Non-Channeled Meadow
Fallen Leaf meadows - 1,154,Non-Channeled Meadow
Fallen Leaf meadows - 2,155,Non-Channeled Meadow
Tahoe Island meadows - 2,156,Non-Channeled Meadow
Tallac meadows,157,Non-Channeled Meadow
Tahoe Island meadows - 1,158,Non-Channeled Meadow
Tallac marsh,159,Non-Channeled Meadow
Baldwin marsh - 1,160,Channeled Meadow
Trout Creek below Black Bart,161,Channeled Meadow
Tahoe Keys,162,Non-Channeled Meadow
Bijou Park Creek meadows - 4,163,Non-Channeled Meadow
Bijou meadows - 3,164,Non-Channeled Meadow
UTR marsh - Trout Creek side,165,Channeled Meadow
Bijou Park Creek meadows - 2,166,Non-Channeled Meadow
Bijou Park Creek meadows - 3,167,Non-Channeled Meadow
Buddhas meadow,168,Non-Channeled Meadow
Colony Inn meadows - lower,169,Non-Channeled Meadow
Casino meadows,170,Non-Channeled Meadow
Burke Creek meadows - 1,171,Channeled Meadow
Kahle meadows - 3,172,Channeled Meadow
small meadow 58,173,Non-Channeled Meadow
small meadow 29,174,Non-Channeled Meadow
small meadow 30,175,Non-Channeled Meadow
Buck Lake meadows,176,Channeled Meadow
Glenbrook meadows - 1,177,Channeled Meadow
Glenbrook meadows - 2,178,Non-Channeled Meadow
Spooner meadows - 2,179,Channeled Meadow
Slaughterhouse meadows - 2,180,Channeled Meadow
small meadow 116,181,Non-Channeled Meadow
Paige meadows,182,Non-Channeled Meadow
Lake Forest meadows - 6,183,Channeled Meadow
Lake Forest meadows - 3,184,Channeled Meadow
Lake Forest meadows - 1,185,Non-Channeled Meadow
Lake Forest meadows - 2,186,Non-Channeled Meadow
Antone meadows,187,Channeled Meadow
Snow Creek wetlands - 1,188,Channeled Meadow
Snow Creek wetlands - 2,189,Channeled Meadow
Incline Lake meadows - 2,190,Channeled Meadow
Third Creek meadows - 1,191,Channeled Meadow
Incline Lake meadows - 1,192,Non-Channeled Meadow
Ginny Lake Meadows,193,Channeled Meadow
Third Creek meadows - 6,194,Non-Channeled Meadow
Third Creek meadows - 4,195,Non-Channeled Meadow
Golden Bear meadows - 2,196,Non-Channeled Meadow
Saxon Creek tributary meadows - 5,197,Non-Channeled Meadow
High meadows - 2,198,Channeled Meadow
High meadows - 6,199,Channeled Meadow
High Meadows - 3,200,Non-Channeled Meadow
High meadows - 5,201,Non-Channeled Meadow
High meadows - 4,202,Channeled Meadow
High meadows - 1,203,Channeled Meadow
Kahle meadows - 2,204,Non-Channeled Meadow
Meeks Bay meadows - 1,205,Channeled Meadow
Meeks Bay meadows - 4,206,Non-Channeled Meadow
Meeks Bay meadows - 2,207,Channeled Meadow
Taylor Creek marsh,208,Channeled Meadow
Meiss meadows - 5,209,Channeled Meadow
Meiss meadows - 4,210,Channeled Meadow
Sierra Tract wetlands,211,Non-Channeled Meadow
Golden Bear meadows - 1,212,Non-Channeled Meadow
Nottaway Drive meadows,213,Non-Channeled Meadow
Angora meadows tributary - 5,214,Non-Channeled Meadow
Mount Rainier Drive meadows - 1,215,Non-Channeled Meadow
Mount Rainier Drive meadows - 2,216,Non-Channeled Meadow
Angora meadows tributary - 1,217,Non-Channeled Meadow
Meyers meadow,218,Non-Channeled Meadow
Bijou Park Creek meadows - 1,219,Non-Channeled Meadow
Ski Run meadows,220,Non-Channeled Meadow
Edgewood meadows,221,Non-Channeled Meadow
Kingsbury meadows,222,Non-Channeled Meadow
Lake Forest meadows - 5,223,Non-Channeled Meadow
Tahoe City meadow,224,Non-Channeled Meadow
Christmas Valley meadows - 4,225,Non-Channeled Meadow
Bijou meadows - tributary 1,226,Non-Channeled Meadow
Tahoe Vista meadows,227,Non-Channeled Meadow
Tahoe Valley meadows - 2,228,Non-Channeled Meadow
South Lake Tahoe - wetland 1,229,Non-Channeled Meadow
Hell Hole meadows - 1,230,Channeled Meadow
Saxon Creek tributary meadows - 7,231,Non-Channeled Meadow
small meadow 82,232,Non-Channeled Meadow
Spooner meadows - 1,233,Channeled Meadow
Mill Creek meadows,234,Non-Channeled Meadow
Meeks Bay Lagoon,235,Channeled Meadow
UTR - upper,236,Riverine (Perennial)
Big Meadow Creek - upper,237,Riverine (Perennial)
UTR - middle,238,Riverine (Perennial)
UTR - Christmas Valley 3,239,Riverine (Perennial)
Echo Creek - upper,240,Riverine (Perennial)
Saxon Creek - headwaters,241,Riverine (Perennial)
Trout Creek - upper,242,Riverine (Perennial)
Eagle Creek,243,Riverine (Perennial)
Cascade Creek - upper,244,Riverine (Perennial)
Heavenly Valley Creek - upper,245,Riverine (Perennial)
Tallac Creek - tributary,246,Riverine (Perennial)
Cascade Creek - lower,247,Riverine (Perennial)
Meeks Creek - upper,248,Riverine (Perennial)
Burke Creek - upper,249,Riverine (Perennial)
Lonely Gulch Creek - upper,250,Riverine (Perennial)
McKinney Creek - upper,251,Riverine (Perennial)
General Creek - middle,252,Riverine (Perennial)
Logan House Creek - upper,253,Riverine (Perennial)
Homewood Canyon Creek - upper,254,Riverine (Perennial)
North Logan House Creek,255,Riverine (Perennial)
Glenbrook Creek - middle,256,Riverine (Perennial)
Ward Creek - upper,257,Riverine (Perennial)
Dollar Creek - upper,258,Riverine (Perennial)
Watson Creek,259,Riverine (Perennial)
Griff Creek - lower,260,Riverine (Perennial)
Mill Creek - upper,261,Riverine (Perennial)
First Creek - upper,262,Riverine (Perennial)
Second Creek - upper,263,Riverine (Perennial)
Woods Creek - upper,264,Riverine (Perennial)
Angora Creek - tributary,265,Riverine (Perennial)
Angora Creek - upper,266,Riverine (Perennial)
Big Meadow Creek - lower,267,Riverine (Perennial)
Big Meadow Creek - upper 2,268,Riverine (Perennial)
Blackwood Creek - lower 1,269,Riverine (Perennial)
Blackwood Creek - middle 2,270,Riverine (Perennial)
Blackwood Creek - middle 4,271,Riverine (Perennial)
Blackwood Creek - Upper 2,272,Riverine (Perennial)
Blackwood Creek - upper 3,273,Riverine (Perennial)
Burke Creek - middle,274,Riverine (Perennial)
Burton Creek - upper,275,Riverine (Perennial)
Cold Creek - middle,276,Riverine (Perennial)
Cold Creek - tributary 3,277,Riverine (Perennial)
Cold Creek - tributary 2,278,Riverine (Perennial)
Cold Creek - upper,279,Riverine (Perennial)
Deer Creek - headwaters,280,Riverine (Perennial)
Deer Creek - upper,281,Riverine (Perennial)
Deer Creek - lower,282,Riverine (Perennial)
Deer Creek - middle,283,Riverine (Perennial)
Deer Creek - middle 2,284,Riverine (Perennial)
Dollar Creek - lower,285,Riverine (Perennial)
Echo Creek - below lake,286,Riverine (Perennial)
Edgewood Creek - middle,287,Riverine (Perennial)
First Creek - lower,288,Riverine (Perennial)
General Creek - lower,289,Riverine (Perennial)
General Creek - upper,290,Riverine (Perennial)
Glen Alpine Creek - lower,291,Riverine (Perennial)
Glenbrook Creek - upper,292,Riverine (Perennial)
Griff Creek - tributary,293,Riverine (Perennial)
Griff Creek - upper,294,Riverine (Perennial)
Heavenly Valley Creek - middle,295,Riverine (Perennial)
Hidden Valley Creek - lower,296,Riverine (Perennial)
Hidden Valley Creek - upper,297,Riverine (Perennial)
Incline Creek - lower,298,Riverine (Perennial)
Incline Creek - middle 1,299,Riverine (Perennial)
Incline Creek - middle 2,300,Riverine (Perennial)
Incline Creek - ski run,301,Riverine (Perennial)
Incline Creek - upper,302,Riverine (Perennial)
Logan House Creek - lower,303,Riverine (Perennial)
Lonely Gulch Creek - lower,304,Riverine (Perennial)
Lonely Gulch Creek - middle,305,Riverine (Perennial)
Madden Creek,306,Riverine (Perennial)
Marlette Creek - lower,307,Riverine (Perennial)
Marlette Creek - south fork (upper),308,Riverine (Perennial)
McFaul Creek - lower,309,Riverine (Perennial)
McKinney Creek - lower,310,Riverine (Perennial)
McKinney Creek - middle,311,Riverine (Perennial)
Mill Creek - lower,312,Riverine (Perennial)
North Zephyr Creek - tributary,313,Riverine (Perennial)
North Zephyr Creek - lower,314,Riverine (Perennial)
North Zephyr Creek - upper,315,Riverine (Perennial)
Osgood Creek - above road,316,Riverine (Perennial)
Osgood Creek - below road,317,Riverine (Perennial)
Quail Creek - lower,318,Riverine (Perennial)
Quail Creek - upper,319,Riverine (Perennial)
Rosewood Creek - lower,320,Riverine (Perennial)
Rosewood Creek - middle 1,321,Riverine (Perennial)
Rosewood Creek - middle 2,322,Riverine (Perennial)
Rosewood Creek - middle 3,323,Riverine (Perennial)
Rubicon Creek,324,Riverine (Perennial)
Rubicon Creek - tributary,325,Riverine (Perennial)
Second Creek - lower,326,Riverine (Perennial)
Second Creek - lower 2,327,Riverine (Perennial)
Second Creek - middle,328,Riverine (Perennial)
Secret Harbor Creek - lower,329,Riverine (Perennial)
Secret Harbor Creek - upper,330,Riverine (Perennial)
Slaughterhouse Creek - lower,331,Riverine (Perennial)
Slaughterhouse Creek - middle,332,Riverine (Perennial)
Slaughterhouse Creek - upper,333,Riverine (Perennial)
Tallac Creek - abv highway - 1,334,Riverine (Perennial) + Forested
Taylor Creek,335,Riverine (Perennial)
Third Creek - headwaters,336,Riverine (Perennial)
Third Creek - lower,337,Riverine (Perennial)
Third Creek - lower 2,338,Riverine (Perennial)
Third Creek - middle 1,339,Riverine (Perennial)
Third Creek - middle,340,Riverine (Perennial)
Third Creek - middle 2,341,Riverine (Perennial)
Third Creek - upper 1,342,Riverine (Perennial)
Third Creek - upper 2,343,Riverine (Perennial)
Third Creek - upper 3,344,Riverine (Perennial)
Trout Creek - tributary 2,345,Riverine (Perennial)
Trout Creek - tributary 3,346,Riverine (Perennial)
UTR - Christmas Valley 1,347,Riverine (Perennial)
UTR - tributary 3,348,Riverine (Perennial)
UTR - tributary 1,349,Riverine (Perennial)
UTR - Washoe Meadows,350,Riverine (Perennial)
Ward Creek - lower,351,Riverine (Perennial)
Ward Creek - middle,352,Riverine (Perennial)
Woods Creek - lower,353,Riverine (Perennial)
Woods Creek - middle,354,Riverine (Perennial)
Glen Alpine Creek - upper,355,Riverine (Perennial)
Grass Lake Creek,356,Riverine (Perennial)
Meiss meadows - 1,357,Riverine (Perennial)
Christmas Valley meadows - 2,358,Riverine (Perennial)
Christmas Valley meadows - 1,359,Riverine (Perennial)
Trout Creek meadows - above Fountain Place,360,Riverine (Perennial)
Trout Creek meadows - above Pioneer 3,361,Riverine (Perennial)
Taylor Creek marsh,362,Riverine (Perennial)
UTR marsh - Trout Creek side,363,Riverine (Perennial)
small meadow 14,364,Riverine (Perennial)
Slaughterhouse meadows - 2,365,Riverine (Perennial)
Antone meadows,366,Riverine (Perennial)
Snow Creek wetlands - 1,367,Riverine (Perennial)
Saxon Creek meadows - below Fountain Place,368,Riverine (Perennial)
Saxon Creek meadows - above Fountain Place 1,369,Riverine (Perennial)
Upper Truckee River - Tahoe Paradise,645,Riverine (Perennial)
Hell Hole Meadows - 2,371,Riverine (Perennial)
Trout Creek headwaters meadows - 2,372,Riverine (Perennial)
small meadow 1,373,Riverine (Perennial)
Ginny Lake Meadows,374,Riverine (Perennial)
Third Creek meadows - 8,375,Riverine (Perennial)
Third Creek meadows - 7,376,Riverine (Perennial)
small meadow 15,377,Riverine (Perennial)
small meadow 13,378,Riverine (Perennial)
small meadow 16,379,Riverine (Perennial)
small meadow 50,380,Riverine (Perennial)
small meadow 111,381,Riverine (Perennial)
small meadow 7,382,Riverine (Perennial)
small meadow 17,383,Riverine (Perennial)
small meadow 92,384,Riverine (Perennial)
Marlette Lake meadows,385,Riverine (Perennial)
Third Creek meadows - 3,386,Riverine (Perennial)
Griff Creek meadows,387,Riverine (Perennial)
Meeks Bay meadows - 3,388,Riverine (Perennial)
Big Meadow - 4,389,Riverine (Perennial)
small meadow 52,390,Riverine (Perennial)
small meadow 95,391,Riverine (Perennial)
Star Lake meadows,392,Riverine (Perennial)
Big Meadow - 1,393,Riverine (Perennial)
Rubicon Meadows,394,Riverine (Perennial)
McFual meadow,395,Riverine (Perennial)
UTR Marsh - UTR side,396,Riverine (Perennial)
UTR - Reach 5,397,Riverine (Perennial)
UTR - Johnson meadows - 2,398,Riverine (Perennial)
UTR - Johnson meadows - 3,399,Riverine (Perennial)
UTR - Airport reach,400,Riverine (Perennial)
UTR - Reach 6,401,Riverine (Perennial)
UTR - golf course meadows,402,Riverine (Perennial)
Angora meadows - 1,403,Riverine (Perennial)
Angora meadows - 8,404,Riverine (Perennial)
Angora meadows - 2,405,Riverine (Perennial)
Angora meadows - 3,406,Riverine (Perennial)
Saxon Creek tributary meadows - 1,407,Riverine (Perennial)
Saxon Creek meadows - above Fountain Place 2,408,Riverine (Perennial)
Trout Creek meadows - above Pioneer 4,409,Riverine (Perennial)
Trout Creek meadows - above Pioneer 2,410,Riverine (Perennial)
Trout Creek meadows - above Pioneer 1,411,Riverine (Perennial)
Trout Creek - Highland Woods,412,Riverine (Perennial)
Cold Creek - Highland Woods,413,Riverine (Perennial)
Heavenly Valley Creek meadows - 1,414,Riverine (Perennial)
Heavenly Valley Creek meadows - 2,415,Riverine (Perennial)
Heavenly Valley Creek meadows - 3,416,Riverine (Perennial)
Heavenly Valley Creek meadows - 4,417,Riverine (Perennial)
Kahle meadows - 5,418,Riverine (Perennial)
Meiss meadows - 3,419,Riverine (Perennial)
Benwood meadows - 1,420,Riverine (Perennial)
Christmas Valley meadows - 3,421,Riverine (Perennial)
Benwood meadows - 2,422,Riverine (Perennial)
small meadow 113,423,Riverine (Perennial)
Angora meadows - 6,424,Riverine (Perennial)
Trout Creek above Black Bart,425,Riverine (Perennial)
Baldwin marsh - 1,426,Riverine (Perennial)
Trout Creek below Black Bart,427,Riverine (Perennial)
Burke Creek meadows - 1,428,Riverine (Perennial)
Buck Lake meadows,429,Riverine (Perennial)
Glenbrook meadows - 1,430,Riverine (Perennial)
Spooner meadows - 2,431,Riverine (Perennial)
Lake Forest meadows - 3,432,Riverine (Perennial)
Snow Creek wetlands - 2,433,Riverine (Perennial)
Incline Lake meadows - 2,434,Riverine (Perennial)
Third Creek meadows - 1,435,Riverine (Perennial)
High meadows - 2,436,Riverine (Perennial)
High meadows - 6,437,Riverine (Perennial)
High meadows - 4,438,Riverine (Perennial)
High meadows - 1,439,Riverine (Perennial)
Meeks Bay meadows - 2,440,Riverine (Perennial)
Meeks Bay meadows - 1,441,Riverine (Perennial)
Meiss meadows - 4,442,Riverine (Perennial)
Meiss meadows - 5,443,Riverine (Perennial)
Hell Hole meadows - 1,444,Riverine (Perennial)
Spooner meadows - 1,445,Riverine (Perennial)
Angora tributary,446,Forested
Meyers tributary - 1,447,Forested
West Shore tributary - 2 - upper,448,Forested
Tahoe City tributary - 1,449,Forested
Tahoe City tributary - 2,450,Riverine (Perennial)
Snow Creek tributary - 1,451,Forested
Snow Creek tributary - 2,452,Forested
McKinney tributary - 2,453,Forested
West Shore tributary - 4,454,Forested
West Shore tributary - 1,455,Forested
West Shore tributary - 3,456,Forested
Incline Village tributary - 4,457,Forested
Incline Village tributary - 1,458,Forested
Incline Village tributary - 2,459,Forested
Incline Village tributary - 3,460,Forested
Burke Creek tributary,461,Forested
Edgewood Creek tributary - 2 - headwaters,462,Forested
South Lake Tahoe tributary - 1,463,Forested
South Lake Tahoe tributary - 2,464,Forested
Cold Creek tributary - 4,465,Forested
Cold Creek tributary - 5,466,Forested
Meyers tributary - 2,467,Riverine (Perennial)
Kahle meadows - 4,468,Non-Channeled Meadow
Kahle meadows - 6,469,Channeled Meadow
Blackwood Creek - lower 2,470,Riverine (Perennial)
Blackwood Creek - middle 3,471,Riverine (Perennial)
Kahle meadows - 3,472,Riverine (Perennial)
Meeks Bay Lagoon,473,Riverine (Perennial)
Kahle meadows - 6,474,Riverine (Perennial)
North Zephyr Creek - middle,475,Riverine (Perennial)
Edgewood Creek tributary - 2 - lower,476,Riverine (Perennial)
Marlette Creek - old dam site,477,Riverine (Perennial)
Tallac Creek - abv highway - 2,478,Riverine (Perennial)
Blackwood Creek - middle 1,479,Riverine (Perennial)
Homewood Canyon Creek - lower,480,Riverine (Perennial)
Blackwood Creek - Upper 1,481,Riverine (Perennial)
Osgood Swamp,482,Non-Channeled Meadow
Pope marsh meadow,483,Non-Channeled Meadow
South Lake Tahoe airport,484,Channeled Meadow
Colony Inn meadows - upper,485,Non-Channeled Meadow
Kahle meadows - 8,486,Channeled Meadow
Lake Forest meadows - 4,487,Channeled Meadow
Bijou Park Creek meadows - 6,488,Non-Channeled Meadow
Bijou Park Creek meadows - 5,489,Non-Channeled Meadow
UTR - upper,490,Riverine (Perennial) + Forested
Big Meadow Creek - upper,491,Riverine (Perennial) + Forested
UTR - middle,492,Riverine (Perennial) + Forested
UTR - Christmas Valley 3,493,Riverine (Perennial) + Forested
Echo Creek - upper,494,Riverine (Perennial) + Forested
Saxon Creek - headwaters,495,Riverine (Perennial) + Forested
Trout Creek - upper,496,Riverine (Perennial) + Forested
Eagle Creek,497,Riverine (Perennial) + Forested
Cascade Creek - upper,498,Riverine (Perennial) + Forested
Heavenly Valley Creek - upper,499,Riverine (Perennial) + Forested
Tallac Creek - tributary,500,Riverine (Perennial) + Forested
Cascade Creek - lower,501,Riverine (Perennial) + Forested
Meeks Creek - upper,502,Riverine (Perennial) + Forested
Burke Creek - upper,503,Riverine (Perennial) + Forested
Lonely Gulch Creek - upper,504,Riverine (Perennial) + Forested
McKinney Creek - upper,505,Riverine (Perennial) + Forested
General Creek - middle,506,Riverine (Perennial) + Forested
Logan House Creek - upper,507,Riverine (Perennial) + Forested
Homewood Canyon Creek - upper,508,Riverine (Perennial) + Forested
North Logan House Creek,509,Riverine (Perennial) + Forested
Glenbrook Creek - middle,510,Riverine (Perennial) + Forested
Ward Creek - upper,511,Riverine (Perennial) + Forested
Dollar Creek - upper,512,Riverine (Perennial) + Forested
Watson Creek,513,Riverine (Perennial) + Forested
Griff Creek - lower,514,Riverine (Perennial) + Forested
Mill Creek - upper,515,Riverine (Perennial) + Forested
First Creek - upper,516,Riverine (Perennial) + Forested
Second Creek - upper,517,Riverine (Perennial) + Forested
Woods Creek - upper,518,Riverine (Perennial) + Forested
Angora Creek - tributary,519,Riverine (Perennial) + Forested
Angora Creek - upper,520,Riverine (Perennial) + Forested
Big Meadow Creek - lower,521,Riverine (Perennial) + Forested
Big Meadow Creek - upper 2,522,Riverine (Perennial) + Forested
Blackwood Creek - lower 1,523,Riverine (Perennial) + Forested
Blackwood Creek - middle 2,524,Riverine (Perennial) + Forested
Blackwood Creek - middle 4,525,Riverine (Perennial) + Forested
Blackwood Creek - Upper 2,526,Riverine (Perennial) + Forested
Blackwood Creek - upper 3,527,Riverine (Perennial) + Forested
Burke Creek - middle,528,Riverine (Perennial) + Forested
Burton Creek - upper,529,Riverine (Perennial) + Forested
Cold Creek - middle,530,Riverine (Perennial) + Forested
Cold Creek - tributary 3,531,Riverine (Perennial) + Forested
Cold Creek - tributary 1,532,Riverine (Perennial) + Forested
Cold Creek - tributary 2,533,Riverine (Perennial) + Forested
Cold Creek - upper,534,Riverine (Perennial) + Forested
Deer Creek - headwaters,535,Riverine (Perennial) + Forested
Deer Creek - upper,536,Riverine (Perennial) + Forested
Deer Creek - lower,537,Riverine (Perennial) + Forested
Deer Creek - middle,538,Riverine (Perennial) + Forested
Deer Creek - middle 2,539,Riverine (Perennial) + Forested
Dollar Creek - lower,540,Riverine (Perennial) + Forested
Echo Creek - below lake,541,Riverine (Perennial) + Forested
Edgewood Creek - middle,542,Riverine (Perennial) + Forested
First Creek - lower,543,Riverine (Perennial) + Forested
General Creek - lower,544,Riverine (Perennial) + Forested
General Creek - upper,545,Riverine (Perennial) + Forested
Glen Alpine Creek - lower,546,Riverine (Perennial) + Forested
Glenbrook Creek - upper,547,Riverine (Perennial) + Forested
Griff Creek - tributary,548,Riverine (Perennial) + Forested
Griff Creek - upper,549,Riverine (Perennial) + Forested
Heavenly Valley Creek - middle,550,Riverine (Perennial) + Forested
Hidden Valley Creek - lower,551,Riverine (Perennial) + Forested
Hidden Valley Creek - upper,552,Riverine (Perennial) + Forested
Incline Creek - lower,553,Riverine (Perennial) + Forested
Incline Creek - middle 1,554,Riverine (Perennial) + Forested
Incline Creek - middle 2,555,Riverine (Perennial) + Forested
Incline Creek - ski run,556,Riverine (Perennial) + Forested
Incline Creek - upper,557,Riverine (Perennial) + Forested
Logan House Creek - lower,558,Riverine (Perennial) + Forested
Lonely Gulch Creek - lower,559,Riverine (Perennial) + Forested
Lonely Gulch Creek - middle,560,Riverine (Perennial) + Forested
Madden Creek,561,Riverine (Perennial) + Forested
Marlette Creek - lower,562,Riverine (Perennial) + Forested
Marlette Creek - south fork (upper),563,Riverine (Perennial) + Forested
